Recipient First,Recipient Last,Address,City,ZIP,State,Wireless,Deliverer,Schedule,Delivery Schedule Legend,Lat,Long,ConfirmationOfDelivery,Date Day,Date Month,Date Year
Gary,Fisher,614 Harrison Avenue,Glenside,19038,PA,215-123-4587,Betty,3,,40.1161575,-75.1558979,FALSE,3,4,2023
Alvin,Negley,891 Fernhill Road,Glenside,19038,PA,215-123-4595,Betty,2,,40.1167981,-75.1390235,TRUE,14,4,2023
Kevin,Jasper,414 Edge Hill Road,Glenside,19038,PA,215-123-4598,David,2,,40.1120769,-75.1563177,FALSE,14,4,2023
Jane,Williams,949 Cricket Avenue,Glenside,19038,PA,215-123-4599,Betty,3,,40.1252345,-75.1512332,TRUE,3,4,2023
Gary,Cooper,928 Willow Avenue,Elkins Park,19027,PA,215-123-4564,Charles,1,,40.08563,-75.11153,FALSE,21,4,2023
Alan,Bell,232 Oswald Street,Elkins Park,19027,PA,215-123-4573,Betty,2,,40.0742606,-75.0986123,TRUE,14,4,2023
William,Nesbit,1129 Wilson Avenue,Abington,19001,PA,215-123-4563,Betty,4,,40.13221,-75.14947,FALSE,19,4,2023
Charles,Smith,1571 Reservoir Avenue,Abington,19001,PA,215-123-4570,Charles,1,,40.1346415,-75.1287499,TRUE,21,4,2023
David,King,2449 Norwood Avenue,Abington,19001,PA,215-123-4574,Charles,2,,40.1273884,-75.1335833,FALSE,14,4,2023
Jane,Boyle,2450 Independence Avenue,Abington,19001,PA,215-123-4584,Charles,3,,40.1261031,-75.1349307,TRUE,3,4,2023
Alan,Morgan,2952 Hammond Place,Abington,19001,PA,215-123-4588,Betty,1,,40.1318015,-75.1496588,FALSE,21,4,2023
Melinda,Runge,1739 Ferndale Avenue,Abington,19001,PA,215-123-4596,Charles,4,,40.1330122,-75.1164086,TRUE,19,4,2023
